,layer,similarity
279,layer_23,0.0867919921875
280,layer_24,0.064697265625
281,layer_25,0.0157928466796875
282,layer_26,0.051910400390625
283,layer_27,0.031341552734375
284,layer_28,0.06634521484375
285,layer_29,0.19140625
286,layer_30,0.113037109375
287,layer_31,0.1322021484375
288,layer_0,0.04766845703125
289,layer_1,0.018890380859375
290,layer_2,0.0692138671875
291,layer_3,0.04803466796875
292,layer_4,0.07891845703125
293,layer_5,0.08660888671875
294,layer_6,0.005359649658203125
295,layer_7,0.006641387939453125
296,layer_8,0.006572723388671875
297,layer_9,0.01134490966796875
298,layer_10,0.0279388427734375
299,layer_11,0.0014886856079101562
300,layer_12,0.005924224853515625
301,layer_13,0.004405975341796875
302,layer_14,0.028594970703125
303,layer_15,0.0921630859375
304,layer_16,0.0897216796875
305,layer_17,0.01392364501953125
306,layer_18,0.041656494140625
307,layer_19,0.14013671875
308,layer_20,0.040191650390625
309,layer_21,0.0657958984375
310,layer_22,0.03173828125
311,layer_23,0.051483154296875
312,layer_24,0.058502197265625
313,layer_25,0.0250396728515625
314,layer_26,0.047393798828125
315,layer_27,0.036529541015625
316,layer_28,0.0712890625
317,layer_29,0.16650390625
318,layer_30,0.12066650390625
319,layer_31,0.11376953125
320,layer_0,0.03515625
321,layer_1,0.040679931640625
322,layer_2,0.081298828125
323,layer_3,0.047149658203125
324,layer_4,0.055877685546875
325,layer_5,0.0794677734375
326,layer_6,0.0078125
327,layer_7,0.019622802734375
328,layer_8,0.008270263671875
329,layer_9,0.01360321044921875
330,layer_10,0.039459228515625
331,layer_11,0.00567626953125
332,layer_12,0.0038776397705078125
333,layer_13,0.002902984619140625
334,layer_14,0.0273284912109375
335,layer_15,0.08880615234375
336,layer_16,0.0823974609375
337,layer_17,0.0187835693359375
338,layer_18,0.054443359375
339,layer_19,0.1373291015625
340,layer_20,0.06951904296875
341,layer_21,0.09332275390625
342,layer_22,0.02490234375
343,layer_23,0.055023193359375
344,layer_24,0.06097412109375
345,layer_25,0.00988006591796875
346,layer_26,0.05670166015625
347,layer_27,0.047027587890625
348,layer_28,0.096435546875
349,layer_29,0.1890869140625
350,layer_30,0.0928955078125
351,layer_31,0.09967041015625
352,layer_0,0.0433349609375
353,layer_1,0.0242919921875
354,layer_2,0.06463623046875
355,layer_3,0.054656982421875
356,layer_4,0.060791015625
357,layer_5,0.0770263671875
358,layer_6,0.002227783203125
359,layer_7,0.0009927749633789062
360,layer_8,0.00986480712890625
361,layer_9,0.003383636474609375
362,layer_10,0.044921875
363,layer_11,0.004604339599609375
364,layer_12,0.004642486572265625
365,layer_13,0.0003914833068847656
366,layer_14,0.03375244140625
367,layer_15,0.0889892578125
368,layer_16,0.0810546875
369,layer_17,0.0178680419921875
370,layer_18,0.05816650390625
371,layer_19,0.1290283203125
372,layer_20,0.06427001953125
373,layer_21,0.08245849609375
374,layer_22,0.03582763671875
375,layer_23,0.05328369140625
376,layer_24,0.0421142578125
377,layer_25,0.0092620849609375
378,layer_26,0.05670166015625
379,layer_27,0.021697998046875
380,layer_28,0.0631103515625
381,layer_29,0.159423828125
382,layer_30,0.111572265625
383,layer_31,0.1474609375
384,layer_0,0.0330810546875
385,layer_1,0.035400390625
386,layer_2,0.06134033203125
387,layer_3,0.040924072265625
388,layer_4,0.053131103515625
389,layer_5,0.09234619140625
390,layer_6,0.0033550262451171875
391,layer_7,0.01308441162109375
392,layer_8,0.0033473968505859375
393,layer_9,0.016510009765625
394,layer_10,0.04656982421875
395,layer_11,0.004131317138671875
396,layer_12,0.0103607177734375
397,layer_13,0.008056640625
398,layer_14,0.0294647216796875
399,layer_15,0.07806396484375
400,layer_16,0.074462890625
401,layer_17,0.005466461181640625
402,layer_18,0.047119140625
403,layer_19,0.10968017578125
